"","PN01770AM"
"","Producto bruto interno y demanda interna (índice 2007=100) - PBI"
Ene03,73.2223697356532
Feb03,71.079432278923
Mar03,74.3427231053258
Abr03,80.6677115046248
May03,83.222645844011
Jun03,80.853774469805
Jul03,79.2070171390158
Ago03,74.2120138543618
Sep03,73.8678353680876
Oct03,77.5989135108107
Nov03,75.5725386288336
Dic03,78.0097324133558
Ene04,75.9132669251778
Feb04,74.0974359154403
Mar04,78.6354629791467
Abr04,84.0944721319617
May04,86.5105702285255
Jun04,83.2874590103565
Jul04,82.1067513163865
Ago04,77.5146229152149
Sep04,77.4025938277684
Oct04,79.6324551624725
Nov04,82.7195635167179
Dic04,85.6503020745209
Ene05,79.9791610934839
Feb05,80.1344599066734
Mar05,81.3964129865707
Abr05,87.0734470255748
May05,92.1414551036507
Jun05,88.4557729993011
Jul05,87.2766006292957
Ago05,82.9894831129745
Sep05,82.0878665294671
Oct05,84.8027239326644
Nov05,90.4951176179881
Dic05,91.5459266918293
Ene06,85.6590424919578
Feb06,84.6285220854951
Mar06,91.2286928400679
Abr06,91.7780023638019
May06,97.7619063414799
Jun06,95.072899809632
Jul06,92.9616001230902
Ago06,91.5547627296281
Sep06,88.769329600051
Oct06,92.1822066698177
Nov06,94.7874212319493
Dic06,99.4183587606666
Ene07,89.9525619891583
Feb07,88.6681022105582
Mar07,96.7214346263447
Abr07,96.6364193147801
May07,104.746678845017
Jun07,101.254568601752
Jul07,102.545139242961
Ago07,100.128668441286
Sep07,100.240420653565
Oct07,103.151330807994
Nov07,104.09969689671
Dic07,111.854978369874
Ene08,98.5070312090955
Feb08,100.672159768895
Mar08,104.083131031768
Abr08,110.233179015429
May08,112.075729562747
Jun08,112.166659126852
Jul08,112.297861122773
Ago08,108.887385132012
Sep08,110.738317611327
Oct08,111.65231586614
Nov08,110.655053597918
Dic08,117.46015281545
Ene09,102.953128300011
Feb09,101.029868827067
Mar09,107.149815903009
Abr09,108.842531811151
May09,114.214279327539
Jun09,108.963968421383
Jul09,110.735969953804
Ago09,109.851422203959
Sep09,111.002193583868
Oct09,113.063804216887
Nov09,113.604308542265
Dic09,122.371417320469
Ene10,106.143682842766
Feb10,106.178126012094
Mar10,115.867838864038
Abr10,117.527218063719
May10,122.828225748485
Jun10,122.939504355914
Jul10,121.710943749251
Ago10,119.43420251701
Sep10,122.174733190608
Oct10,123.721829305094
Nov10,123.649082243213
Dic10,131.939415170008
Ene11,116.294670807701
Feb11,114.732224852548
Mar11,124.771190972477
Abr11,126.239954346196
May11,129.635868869519
Jun11,126.608696846065
Jul11,129.091088415566
Ago11,127.173297115702
Sep11,128.166470335783
Oct11,129.234695799216
Nov11,129.511007695128
Dic11,143.3587919335
Ene12,122.637147679688
Feb12,122.828188249174
Mar12,132.081142108456
Abr12,130.289357864203
May12,138.603363776422
Jun12,136.148203072553
Jul12,138.452942915941
Ago12,136.155476208487
Sep12,136.812368768087
Oct12,138.819381759096
Nov12,137.366173641247
Dic12,148.284668407683
Ene13,130.552483799999
Feb13,129.075053078709
Mar13,136.712199218547
Abr13,141.78263386766
May13,144.514999763222
Jun13,144.11929695215
Jul13,145.808779566297
Ago13,143.650211792264
Sep13,143.465237845224
Oct13,147.437731811335
Nov13,147.360542003598
Dic13,158.708386447396
Ene14,136.074263712718
Feb14,135.797371695595
Mar14,144.111915929233
Abr14,145.925352801383
May14,148.260222063892
Jun14,144.668114528524
Jul14,147.922643157663
Ago14,145.595315365279
Sep14,147.301851243689
Oct14,150.790042907709
Nov14,147.601135020437
Dic14,159.976450245091
Ene15,138.197686816379
Feb15,137.470299533785
Mar15,148.339778409561
Abr15,152.038604723334
May15,150.15719220135
Jun15,150.578546994917
Jul15,153.252908823275
Ago15,149.48186711913
Sep15,151.999229212378
Oct15,155.730120691974
Nov15,153.424114847416
Dic15,170.391576698868
Ene16,143.100520938942
Feb16,146.316293752734
Mar16,153.620687314018
Abr16,156.272229844098
May16,157.496837037018
Jun16,155.977418793424
Jul16,158.742284000152
Ago16,158.111338321205
Sep16,158.845788096357
Oct16,159.111358001025
Nov16,158.79513886694
Dic16,176.279513804359
Ene17,150.311211068118
Feb17,147.486006887858
Mar17,155.41503504925
Abr17,156.756309334268
May17,163.249134638544
Jun17,162.164336410244
Jul17,162.276265041774
Ago17,162.626239548567
Sep17,164.168973358816
Oct17,164.859117966299
Nov17,162.035997034655
Dic17,178.809368988373
Ene18,154.598247693881
Feb18,151.469039359636
Mar18,161.434805266302
Abr18,169.424386520818
May18,174.202548069554
Jun18,165.532592831248
Jul18,166.518727654343
Ago18,166.41270343736
Sep18,168.105836536928
Oct18,171.603442052219
Nov18,170.240884848902
Dic18,187.229533333542
Ene19,157.186802338493
Feb19,154.603348837791
Mar19,166.88351387112
Abr19,169.398009965811
May19,175.381659279371
Jun19,170.183484780712
Jul19,173.057902425139
Ago19,172.59824394028
Sep19,172.375332584698
Oct19,176.261987594348
Nov19,174.206812160416
Dic19,189.600037536011
Ene20,162.475686361603
Feb20,161.805311971172
Mar20,137.650648590992
Abr20,102.878185008743
May20,118.002179591045
Jun20,139.343289968814
Jul20,153.952665838789
Ago20,156.656437269505
Sep20,162.124826004949
Oct20,170.399076614127
Nov20,170.356431951904
Dic20,191.371804825254
Ene21,160.871051915431
Feb21,155.633836211616
Mar21,164.951396496013
Abr21,164.562463363289
May21,175.373348806511
Jun21,172.048341377509
Jul21,174.308876328227
Ago21,175.283405016688
Sep21,178.257214264935
Oct21,178.482017435477
Nov21,176.332641628062
Dic21,194.809690546868
Ene22,165.737036469363
Feb22,163.239026190752
Mar22,171.321636695205
Abr22,171.183192625425
May22,179.981667412174
Jun22,178.073197724067
Jul22,177.435246940033
Ago22,178.755347161183
Sep22,181.983999649664
Oct22,182.625418761124
Nov22,179.642822332675
Dic22,196.490692007645
Ene23,164.039260667515
Feb23,162.404324645883
Mar23,171.691376384304
Abr23,171.713860522564
